_id,segment_id,date,weekday,LOS,s_node_id,e_node_id,length,street_id,street_level,street_type,long_node,lat_node,time_x,month,temperature_2m,relative_humidity_2m,apparent_temperature,rain,weather_code,cloud_cover,season
418,2411,8/3/2020,0,E,5772301808,5772301809,19,32577449,4,unclassified,106.6517707,10.7793795,0:00,8,25.5,93,29.9,0.4,51,31,rain
425,2412,8/3/2020,0,C,5772301809,5772301808,19,32577449,4,unclassified,106.6519398,10.7793381,0:00,8,25.5,93,29.9,0.4,51,31,rain
427,2413,8/3/2020,0,C,5772301809,5772301810,32,32577449,4,unclassified,106.6519398,10.7793381,0:00,8,25.5,93,29.9,0.4,51,31,rain
431,2414,8/3/2020,0,D,5772301810,5772301809,32,32577449,4,unclassified,106.6522247,10.779261,0:00,8,25.5,93,29.9,0.4,51,31,rain
434,2415,8/3/2020,0,D,5772301810,1606180456,61,32577449,4,unclassified,106.6522247,10.779261,0:00,8,25.5,93,29.9,0.4,51,31,rain
441,2416,8/3/2020,0,D,1606180456,5772301810,61,32577449,4,unclassified,106.652777,10.779344,0:00,8,25.5,93,29.9,0.4,51,31,rain
443,2417,8/3/2020,0,C,1606180456,366430963,4,32577449,4,unclassified,106.652777,10.779344,0:00,8,25.5,93,29.9,0.4,51,31,rain
449,2418,8/3/2020,0,D,366430963,1606180456,4,32577449,4,unclassified,106.6528175,10.7793463,0:00,8,25.5,93,29.9,0.4,51,31,rain
451,2419,8/3/2020,0,D,366430963,5772301811,28,32577449,4,unclassified,106.6528175,10.7793463,0:00,8,25.5,93,29.9,0.4,51,31,rain
453,2420,8/3/2020,0,D,5772301811,366430963,28,32577449,4,unclassified,106.6530765,10.7793851,0:00,8,25.5,93,29.9,0.4,51,31,rain
455,2421,8/3/2020,0,D,5772301811,5772301812,52,32577449,4,unclassified,106.6530765,10.7793851,0:00,8,25.5,93,29.9,0.4,51,31,rain
460,2422,8/3/2020,0,D,5772301812,5772301811,52,32577449,4,unclassified,106.6535201,10.7795662,0:00,8,25.5,93,29.9,0.4,51,31,rain
463,2423,8/3/2020,0,E,5772301812,3789045824,4,32577449,4,unclassified,106.6535201,10.7795662,0:00,8,25.5,93,29.9,0.4,51,31,rain
482,2424,8/3/2020,0,E,3789045824,5772301812,4,32577449,4,unclassified,106.6535633,10.779581,0:00,8,25.5,93,29.9,0.4,51,31,rain
484,2425,8/3/2020,0,D,3789045824,5772301813,9,32577449,4,unclassified,106.6535633,10.779581,0:00,8,25.5,93,29.9,0.4,51,31,rain
496,2426,8/3/2020,0,D,5772301813,3789045824,9,32577449,4,unclassified,106.6536292,10.7796398,0:00,8,25.5,93,29.9,0.4,51,31,rain
